Time[ms] CO2[ppm] O2[bar] P[bar] T[C]
114521 300.00 204.70 978.00 28.90
115187 310.00 204.70 978.00 28.80
115855 310.00 204.70 978.00 28.80
116522 310.00 204.70 978.00 28.80
117191 310.00 204.70 978.00 28.90
117858 320.00 204.70 978.00 28.80
118525 320.00 204.70 978.00 28.80
119191 320.00 204.70 978.00 28.80
119856 310.00 204.70 978.00 28.80
120523 320.00 204.70 978.00 28.80
121189 340.00 204.70 978.00 28.80
121856 340.00 204.70 978.00 28.80
122523 340.00 204.70 978.00 28.80
123189 340.00 204.70 978.00 28.90
123857 340.00 204.70 978.00 28.90
124524 320.00 204.70 978.00 28.80
125190 310.00 204.70 978.00 28.80
125858 320.00 204.70 978.00 28.80
126526 310.00 204.70 978.00 28.80
127195 310.00 204.70 978.00 28.80
127861 310.00 204.70 978.00 28.80
128528 310.00 204.70 978.00 28.90
129194 310.00 204.70 978.00 28.80
129861 300.00 204.70 978.00 28.80
130528 310.00 204.70 978.00 28.80
131195 310.00 204.70 978.00 28.80
131862 310.00 204.70 978.00 28.80
132529 310.00 204.70 978.00 28.90
133196 310.00 204.70 978.00 28.80
133863 310.00 204.70 978.00 28.80
134530 310.00 204.70 978.00 28.90
135197 310.00 204.70 978.00 28.80
135864 310.00 204.70 978.00 28.80
136531 320.00 204.70 978.00 28.80
137201 320.00 204.80 978.00 28.80
137867 340.00 204.80 978.00 28.80
138534 340.00 204.80 978.00 28.90
139199 340.00 204.80 978.00 28.80
139866 350.00 204.80 978.00 28.80
140533 350.00 204.80 978.00 28.90
141199 350.00 204.80 978.00 28.80
141866 340.00 204.80 978.00 28.80
142535 350.00 204.80 978.00 28.80
143200 340.00 204.80 978.00 28.80
143868 310.00 204.80 978.00 28.80
144535 320.00 204.80 978.00 28.80
145201 310.00 204.80 978.00 28.80
145869 310.00 204.80 978.00 28.80
146536 310.00 204.80 978.00 28.80
147205 310.00 204.80 978.00 28.80
147871 320.00 204.80 978.00 28.80
148537 310.00 204.80 978.00 28.80
149202 310.00 204.80 978.00 28.80
149870 320.00 204.80 978.00 28.80
150538 320.00 204.80 978.00 28.70
151203 320.00 204.80 978.00 28.70
151870 330.00 204.70 978.00 28.80
152538 340.00 204.70 978.00 28.80
153204 340.00 204.70 978.00 28.80
153872 330.00 204.80 978.00 28.80
154540 330.00 204.80 978.00 28.70
155206 330.00 204.80 978.00 28.70
155873 340.00 204.80 978.00 28.80
156540 340.00 204.80 978.00 28.70
157210 340.00 204.80 978.00 28.70
157876 340.00 204.80 978.00 28.80
158544 350.00 204.80 978.00 28.70
159210 340.00 204.80 978.00 28.70
159876 340.00 204.80 978.00 28.80
160543 340.00 204.80 978.00 28.80
161208 350.00 204.80 978.00 28.80
161876 340.00 204.80 978.00 28.80
162544 350.00 204.80 978.00 28.80
163209 350.00 204.80 978.00 28.80
163877 350.00 204.80 978.00 28.80
164545 340.00 204.80 978.00 28.80
165211 320.00 204.80 978.00 28.80
165878 310.00 204.80 978.00 28.80
166545 310.00 204.80 978.00 28.80
167223 320.00 204.80 978.00 28.80
167892 340.00 204.80 978.00 28.80
168560 340.00 204.80 978.00 28.80
169228 350.00 204.80 978.00 28.80
169896 360.00 204.80 978.00 28.70
170564 360.00 204.80 978.00 28.70
171249 360.00 204.80 978.00 28.70
171917 350.00 204.80 978.00 28.80
172586 340.00 204.80 978.00 28.80
173254 350.00 204.80 978.00 28.80
173921 350.00 204.80 978.00 28.80
174590 350.00 204.80 978.00 28.80
175258 340.00 204.80 978.00 28.80
175926 320.00 204.80 978.00 28.90
176594 310.00 204.80 978.00 28.90
177265 300.00 204.80 978.00 28.80
177933 310.00 204.80 978.00 28.80
178600 320.00 204.80 978.00 28.80
179268 320.00 204.80 978.00 28.70
179936 310.00 204.80 978.00 28.70
180604 310.00 204.80 978.00 28.70
181271 310.00 204.80 978.00 28.70
181939 310.00 204.80 978.00 28.80
182607 310.00 204.80 978.00 28.80
183275 310.00 204.80 978.00 28.70
183943 310.00 204.80 978.00 28.70
184611 310.00 204.80 978.00 28.70
185278 310.00 204.80 978.00 28.70
185946 330.00 204.80 978.00 28.80
186615 330.00 204.80 978.00 28.80
187286 340.00 204.80 978.00 28.80
187954 340.00 204.80 978.00 28.80
188622 330.00 204.80 978.00 28.80
189291 320.00 204.80 978.00 28.70
189959 320.00 204.80 978.00 28.70
190627 330.00 204.80 978.00 28.70
191295 340.00 204.80 978.00 28.70
191963 360.00 204.80 978.00 28.80
192632 360.00 204.80 978.00 28.80
193300 360.00 204.80 978.00 28.70
193968 360.00 204.80 978.00 28.70
194636 360.00 204.80 978.00 28.70
195305 360.00 204.80 978.00 28.70
195973 360.00 204.80 978.00 28.70
196641 370.00 204.80 978.00 28.70
197313 370.00 204.80 978.00 28.70
197980 360.00 204.80 978.00 28.70
198649 360.00 204.80 978.00 28.70
199317 360.00 204.80 978.00 28.70
199985 350.00 204.80 978.00 28.70
200654 350.00 204.80 978.00 28.70
201322 350.00 204.80 978.00 28.70
201990 330.00 204.80 978.00 28.70
202658 320.00 204.80 978.00 28.70
203326 330.00 204.80 978.00 28.70
203994 340.00 204.80 978.00 28.70
204662 340.00 204.80 978.00 28.70
205330 330.00 204.80 978.00 28.70
205998 330.00 204.80 978.00 28.70
206666 320.00 204.80 978.00 28.70
207337 310.00 204.80 978.00 28.70
208005 320.00 204.80 978.00 28.70
208673 310.00 204.80 978.00 28.70
209342 310.00 204.80 978.00 28.80
210009 320.00 204.80 978.00 28.80
210677 310.00 204.80 978.00 28.70
211345 310.00 204.80 978.00 28.70
212012 300.00 204.80 978.00 28.70
212680 300.00 204.80 978.00 28.70
213348 290.00 204.80 978.00 28.70
214015 310.00 204.80 978.00 28.70
214683 310.00 204.80 978.00 28.80
215351 310.00 204.80 978.00 28.70
216018 300.00 204.80 978.00 28.70
216686 310.00 204.80 978.00 28.60
217357 310.00 204.80 978.00 28.70
218026 310.00 204.80 978.00 28.70
218694 320.00 204.80 978.00 28.70
219361 310.00 204.80 978.00 28.70
220030 320.00 204.80 978.00 28.70
220698 320.00 204.80 978.00 28.70
221366 320.00 204.80 978.00 28.70
222034 330.00 204.80 978.00 28.70
222703 340.00 204.80 978.00 28.70
223371 350.00 204.80 978.00 28.60
224039 360.00 204.80 978.00 28.60
224707 360.00 204.80 978.00 28.70
225375 370.00 204.80 978.00 28.70
226044 380.00 204.80 978.00 28.70
226712 380.00 204.80 978.00 28.70
227383 370.00 204.80 978.00 28.60
228052 360.00 204.80 978.00 28.60
228720 350.00 204.80 978.00 28.70
229388 350.00 204.80 978.00 28.70
230056 350.00 204.80 978.00 28.70
230725 350.00 204.80 978.00 28.60
231393 350.00 204.80 978.00 28.60
232061 340.00 204.80 978.00 28.60
232729 340.00 204.80 978.00 28.70
233397 340.00 204.80 978.00 28.70
234065 360.00 204.80 978.00 28.70
